algorithm,graph,runtime,batch_size,num_threads,iterations
hashmap_iterator,web-Stanford,1.911397417s,0,16,424
hashmap_iterator,web-BerkStan,4.742883552s,0,16,424
hashmap_iterator,web-Google,855.926139ms,0,16,24
hashmap_iterator,web-NotreDame,954.086543ms,0,16,188
hashmap_iterator,wiki-Talk,13.313974306s,0,16,44
hashmap_iterator,soc-pokec-relationships,15.95060685s,0,16,128
hashmap_iterator,soc-LiveJournal1,55.695461755s,0,16,100
hashmap_iterator,roadNet-CA,2.410911191s,0,16,78
hashmap_iterator,roadNet-PA,1.259018547s,0,16,67
hashmap_iterator,roadNet-TX,2.985965545s,0,16,125
hashmap_threadpool,web-Stanford,2.659397133s,256,16,424
hashmap_threadpool,web-BerkStan,7.610816621s,256,16,424
hashmap_threadpool,web-Google,922.144183ms,256,16,24
hashmap_threadpool,web-NotreDame,1.056476963s,256,16,188
hashmap_threadpool,wiki-Talk,3.730573186s,256,16,44
hashmap_threadpool,soc-pokec-relationships,12.374322041s,256,16,128
hashmap_threadpool,soc-LiveJournal1,21.360334287s,256,16,100
hashmap_threadpool,roadNet-CA,3.369907682s,256,16,78
hashmap_threadpool,roadNet-PA,1.62538359s,256,16,67
hashmap_threadpool,roadNet-TX,3.60756594s,256,16,125
hashmap_threads,web-Stanford,1.743957392s,256,16,424
hashmap_threads,web-BerkStan,4.919911111s,256,16,424
hashmap_threads,web-Google,837.663368ms,256,16,24
hashmap_threads,web-NotreDame,982.280409ms,256,16,188
hashmap_threads,wiki-Talk,3.371429432s,256,16,44
hashmap_threads,soc-pokec-relationships,12.887209895s,256,16,128
hashmap_threads,soc-LiveJournal1,21.252489703s,256,16,100
hashmap_threads,roadNet-CA,2.38175551s,256,16,78
hashmap_threads,roadNet-PA,1.136250587s,256,16,67
hashmap_threads,roadNet-TX,2.603980165s,256,16,125
hashmap_iterator,web-Stanford,1.885916183s,0,16,424
hashmap_iterator,web-BerkStan,4.842533117s,0,16,424
hashmap_iterator,web-Google,862.416259ms,0,16,24
hashmap_iterator,web-NotreDame,982.548098ms,0,16,188
hashmap_iterator,wiki-Talk,15.83157395s,0,16,44
hashmap_iterator,soc-pokec-relationships,16.104116386s,0,16,128
hashmap_iterator,soc-LiveJournal1,47.113929768s,0,16,100
hashmap_iterator,roadNet-CA,2.637804099s,0,16,78
hashmap_iterator,roadNet-PA,1.154040004s,0,16,67
hashmap_iterator,roadNet-TX,2.768790296s,0,16,125
hashmap_threadpool,web-Stanford,2.76225405s,256,16,424
hashmap_threadpool,web-BerkStan,7.31979427s,256,16,424
hashmap_threadpool,web-Google,1.077850301s,256,16,24
hashmap_threadpool,web-NotreDame,1.362037166s,256,16,188
hashmap_threadpool,wiki-Talk,3.816931668s,256,16,44
hashmap_threadpool,soc-pokec-relationships,12.865574159s,256,16,128
hashmap_threadpool,soc-LiveJournal1,21.954534896s,256,16,100
hashmap_threadpool,roadNet-CA,3.380129083s,256,16,78
hashmap_threadpool,roadNet-PA,1.450849202s,256,16,67
hashmap_threadpool,roadNet-TX,3.944795584s,256,16,125
hashmap_threads,web-Stanford,1.73692815s,256,16,424
hashmap_threads,web-BerkStan,4.904131229s,256,16,424
hashmap_threads,web-Google,831.301476ms,256,16,24
hashmap_threads,web-NotreDame,996.618532ms,256,16,188
hashmap_threads,wiki-Talk,3.349032615s,256,16,44
hashmap_threads,soc-pokec-relationships,13.231310036s,256,16,128
hashmap_threads,soc-LiveJournal1,21.130704205s,256,16,100
hashmap_threads,roadNet-CA,2.387977266s,256,16,78
hashmap_threads,roadNet-PA,1.202375231s,256,16,67
hashmap_threads,roadNet-TX,2.695542309s,256,16,125
