graph,runtime
web-Stanford,92.98906230926514s
web-BerkStan,684.4661633968353s
web-Google,38.483901023864746s
web-NotreDame,6.576490163803101s
wiki-Talk,116.02509903907776s
soc-pokec-relationships,162.82591247558594s
soc-LiveJournal1,516.8558526039124s
roadNet-CA,46.8963680267334s
roadNet-PA,9.193613529205322s
roadNet-TX,10.811034679412842s
web-Stanford,93.33458423614502s
web-BerkStan,688.801929473877s
web-Google,38.31478762626648s
web-NotreDame,6.5141441822052s
wiki-Talk,114.53167581558228s
soc-pokec-relationships,161.01070094108582s
soc-LiveJournal1,444.98081159591675s
roadNet-CA,34.06055927276611s
roadNet-PA,8.508261919021606s
roadNet-TX,10.321381092071533s
