algorithm,graph,runtime,batch_size,num_threads,iterations
estimates_iterator,web-Stanford,1.575385131s,0,16,424
estimates_threadpool,web-Stanford,2.402719049s,256,16,424
estimates_threads,web-Stanford,1.536621901s,256,16,424
estimates_iterator,web-Stanford,1.385241742s,0,16,424
estimates_threadpool,web-Stanford,2.820260126s,256,16,424
estimates_threads,web-Stanford,1.491835645s,256,16,424
estimates_iterator,web-BerkStan,4.027139367s,0,16,424
estimates_threadpool,web-BerkStan,7.093592639s,256,16,424
estimates_threads,web-BerkStan,4.309216637s,256,16,424
estimates_iterator,web-BerkStan,4.491865328s,0,16,424
estimates_threadpool,web-BerkStan,7.22152388s,256,16,424
estimates_threads,web-BerkStan,4.884864078s,256,16,424
estimates_iterator,web-Google,670.910405ms,0,16,24
estimates_threadpool,web-Google,788.454471ms,256,16,24
estimates_threads,web-Google,654.09418ms,256,16,24
estimates_iterator,web-Google,615.200956ms,0,16,24
estimates_threadpool,web-Google,647.641189ms,256,16,24
estimates_threads,web-Google,652.96669ms,256,16,24
estimates_iterator,web-NotreDame,743.91632ms,0,16,188
estimates_threadpool,web-NotreDame,1.123953602s,256,16,188
estimates_threads,web-NotreDame,960.553769ms,256,16,188
estimates_iterator,web-NotreDame,809.828654ms,0,16,188
estimates_threadpool,web-NotreDame,1.304980108s,256,16,188
estimates_threads,web-NotreDame,882.796427ms,256,16,188
estimates_iterator,wiki-Talk,10.998909584s,0,16,44
estimates_threadpool,wiki-Talk,2.788372784s,256,16,44
estimates_threads,wiki-Talk,2.659711782s,256,16,44
estimates_iterator,wiki-Talk,11.395860622s,0,16,44
estimates_threadpool,wiki-Talk,2.812722584s,256,16,44
estimates_threads,wiki-Talk,2.564832984s,256,16,44
estimates_iterator,soc-pokec-relationships,15.114801832s,0,16,128
estimates_threadpool,soc-pokec-relationships,10.654535484s,256,16,128
estimates_threads,soc-pokec-relationships,10.804913582s,256,16,128
estimates_iterator,soc-pokec-relationships,14.05031596s,0,16,128
estimates_threadpool,soc-pokec-relationships,10.765892297s,256,16,128
estimates_threads,soc-pokec-relationships,11.089269283s,256,16,128
estimates_iterator,soc-LiveJournal1,48.177093265s,0,16,100
estimates_threadpool,soc-LiveJournal1,18.614033838s,256,16,100
estimates_threads,soc-LiveJournal1,17.637748964s,256,16,100
estimates_iterator,soc-LiveJournal1,49.740637754s,0,16,100
estimates_threadpool,soc-LiveJournal1,18.219077664s,256,16,100
estimates_threads,soc-LiveJournal1,17.971354626s,256,16,100
estimates_iterator,roadNet-CA,2.211469957s,0,16,78
estimates_threadpool,roadNet-CA,4.321446669s,256,16,78
estimates_threads,roadNet-CA,2.137119921s,256,16,78
estimates_iterator,roadNet-CA,1.890699321s,0,16,78
estimates_threadpool,roadNet-CA,3.264267481s,256,16,78
estimates_threads,roadNet-CA,2.15102264s,256,16,78
estimates_iterator,roadNet-PA,1.080319248s,0,16,67
estimates_threadpool,roadNet-PA,1.657515888s,256,16,67
estimates_threads,roadNet-PA,1.054930077s,256,16,67
estimates_iterator,roadNet-PA,998.219612ms,0,16,67
estimates_threadpool,roadNet-PA,1.272838519s,256,16,67
estimates_threads,roadNet-PA,1.050217067s,256,16,67
estimates_iterator,roadNet-TX,2.576952036s,0,16,125
estimates_threadpool,roadNet-TX,4.044650581s,256,16,125
estimates_threads,roadNet-TX,2.331183982s,256,16,125
estimates_iterator,roadNet-TX,2.185226659s,0,16,125
estimates_threadpool,roadNet-TX,3.549389033s,256,16,125
estimates_threads,roadNet-TX,2.413454415s,256,16,125
