algorithm,graph,runtime,batch_size,num_threads,iterations
hashmap_parallel_iterator,./graphs/web-Stanford/web-Stanford.txt,3.073506588s,0,1,424
hashmap_parallel_iterator,./graphs/web-Stanford/web-Stanford.txt,2.062391792s,0,2,424
hashmap_parallel_iterator,./graphs/web-Stanford/web-Stanford.txt,1.868812383s,0,3,424
hashmap_parallel_iterator,./graphs/web-Stanford/web-Stanford.txt,1.518763899s,0,4,424
hashmap_parallel_iterator,./graphs/web-Stanford/web-Stanford.txt,1.457357638s,0,5,424
hashmap_parallel_iterator,./graphs/web-Stanford/web-Stanford.txt,1.437827932s,0,6,424
hashmap_parallel_iterator,./graphs/web-Stanford/web-Stanford.txt,1.439609727s,0,8,424
hashmap_parallel_iterator,./graphs/web-Stanford/web-Stanford.txt,1.426462878s,0,10,424
hashmap_parallel_iterator,./graphs/web-BerkStan/web-BerkStan.txt,6.580020733s,0,1,424
hashmap_parallel_iterator,./graphs/web-BerkStan/web-BerkStan.txt,4.347141927s,0,2,424
hashmap_parallel_iterator,./graphs/web-BerkStan/web-BerkStan.txt,4.056614251s,0,3,424
hashmap_parallel_iterator,./graphs/web-BerkStan/web-BerkStan.txt,3.712499625s,0,4,424
hashmap_parallel_iterator,./graphs/web-BerkStan/web-BerkStan.txt,3.759528501s,0,5,424
hashmap_parallel_iterator,./graphs/web-BerkStan/web-BerkStan.txt,3.770534513s,0,6,424
hashmap_parallel_iterator,./graphs/web-BerkStan/web-BerkStan.txt,3.63353935s,0,8,424
hashmap_parallel_iterator,./graphs/web-BerkStan/web-BerkStan.txt,3.660439184s,0,10,424
hashmap_parallel_iterator,./graphs/web-Google/web-Google.txt,2.426515558s,0,1,24
hashmap_parallel_iterator,./graphs/web-Google/web-Google.txt,1.387981975s,0,2,24
hashmap_parallel_iterator,./graphs/web-Google/web-Google.txt,1.122679063s,0,3,24
hashmap_parallel_iterator,./graphs/web-Google/web-Google.txt,928.284665ms,0,4,24
hashmap_parallel_iterator,./graphs/web-Google/web-Google.txt,915.13941ms,0,5,24
hashmap_parallel_iterator,./graphs/web-Google/web-Google.txt,921.398833ms,0,6,24
hashmap_parallel_iterator,./graphs/web-Google/web-Google.txt,859.224559ms,0,8,24
hashmap_parallel_iterator,./graphs/web-Google/web-Google.txt,819.827767ms,0,10,24
hashmap_parallel_iterator,./graphs/web-NotreDame/web-NotreDame.txt,1.394127245s,0,1,189
hashmap_parallel_iterator,./graphs/web-NotreDame/web-NotreDame.txt,987.573363ms,0,2,189
hashmap_parallel_iterator,./graphs/web-NotreDame/web-NotreDame.txt,911.562196ms,0,3,189
hashmap_parallel_iterator,./graphs/web-NotreDame/web-NotreDame.txt,824.508516ms,0,4,189
hashmap_parallel_iterator,./graphs/web-NotreDame/web-NotreDame.txt,839.318916ms,0,5,189
hashmap_parallel_iterator,./graphs/web-NotreDame/web-NotreDame.txt,833.586792ms,0,6,189
hashmap_parallel_iterator,./graphs/web-NotreDame/web-NotreDame.txt,813.188099ms,0,8,189
hashmap_parallel_iterator,./graphs/web-NotreDame/web-NotreDame.txt,812.361604ms,0,10,189
hashmap_threadpool,./graphs/web-Stanford/web-Stanford.txt,3.482430128s,256,1,424
hashmap_threadpool,./graphs/web-Stanford/web-Stanford.txt,2.008045695s,256,2,424
hashmap_threadpool,./graphs/web-Stanford/web-Stanford.txt,1.773540696s,256,3,424
hashmap_threadpool,./graphs/web-Stanford/web-Stanford.txt,1.52019926s,256,4,424
hashmap_threadpool,./graphs/web-Stanford/web-Stanford.txt,1.527786406s,256,5,424
hashmap_threadpool,./graphs/web-Stanford/web-Stanford.txt,1.508616652s,256,6,424
hashmap_threadpool,./graphs/web-Stanford/web-Stanford.txt,1.498578599s,256,8,424
hashmap_threadpool,./graphs/web-Stanford/web-Stanford.txt,1.501785365s,256,10,424
hashmap_threadpool,./graphs/web-BerkStan/web-BerkStan.txt,7.948564941s,256,1,424
