algorithm,graph,runtime,batch_size,num_threads,iterations
onephase_optimized_threads,soc-pokec-relationships,42.039510686s,256,1,66
onephase_optimized_threads,soc-pokec-relationships,35.233118835s,256,1,66
onephase_optimized_threads,soc-pokec-relationships,34.27221832s,256,1,66
onephase_optimized_threads,soc-pokec-relationships,36.771571674s,256,1,66
onephase_optimized_threads,soc-pokec-relationships,34.279968048s,256,1,66
onephase_optimized_threads,soc-pokec-relationships,19.072655797s,256,2,66
onephase_optimized_threads,soc-pokec-relationships,30.948117748s,256,2,66
onephase_optimized_threads,soc-pokec-relationships,18.881405429s,256,2,66
onephase_optimized_threads,soc-pokec-relationships,18.414286815s,256,2,66
onephase_optimized_threads,soc-pokec-relationships,21.781225119s,256,2,66
onephase_optimized_threads,soc-pokec-relationships,9.389292113s,256,4,66
onephase_optimized_threads,soc-pokec-relationships,12.324233727s,256,4,66
onephase_optimized_threads,soc-pokec-relationships,11.6215337s,256,4,66
onephase_optimized_threads,soc-pokec-relationships,10.855211612s,256,4,66
onephase_optimized_threads,soc-pokec-relationships,11.037397433s,256,4,66
onephase_optimized_threads,soc-pokec-relationships,7.127331668s,256,8,66
onephase_optimized_threads,soc-pokec-relationships,7.353888736s,256,8,66
onephase_optimized_threads,soc-pokec-relationships,7.379395422s,256,8,66
onephase_optimized_threads,soc-pokec-relationships,6.796784729s,256,8,66
onephase_optimized_threads,soc-pokec-relationships,6.618684437s,256,8,66
onephase_optimized_threads,soc-pokec-relationships,4.510380395s,256,16,66
onephase_optimized_threads,soc-pokec-relationships,4.455018546s,256,16,66
onephase_optimized_threads,soc-pokec-relationships,4.474310107s,256,16,66
onephase_optimized_threads,soc-pokec-relationships,4.548452766s,256,16,66
onephase_optimized_threads,soc-pokec-relationships,4.071312099s,256,32,66
onephase_optimized_threads,soc-pokec-relationships,3.927660384s,256,32,67
onephase_optimized_threads,soc-pokec-relationships,4.307621056s,256,32,66
onephase_optimized_threads,soc-pokec-relationships,4.143142053s,256,32,66
onephase_optimized_threads,soc-pokec-relationships,4.350265663s,256,32,66
onephase_optimized_threads,soc-pokec-relationships,4.115616075s,256,64,68
onephase_optimized_threads,soc-pokec-relationships,4.109649781s,256,64,67
onephase_optimized_threads,soc-pokec-relationships,4.149875557s,256,64,69
onephase_optimized_threads,soc-pokec-relationships,4.201649235s,256,64,67
onephase_optimized_threads,soc-pokec-relationships,4.024369796s,256,64,68
onephase_optimized_threads,soc-pokec-relationships,4.200753228s,256,128,70
onephase_optimized_threads,soc-pokec-relationships,4.190537593s,256,128,70
onephase_optimized_threads,soc-pokec-relationships,4.136931728s,256,128,69
onephase_optimized_threads,soc-pokec-relationships,4.190192229s,256,128,69
onephase_optimized_threads,soc-pokec-relationships,4.193968496s,256,128,70
onephase_optimized_threads,soc-LiveJournal1,54.792704545s,256,1,50
onephase_optimized_threads,soc-LiveJournal1,53.464023176s,256,1,50
onephase_optimized_threads,soc-LiveJournal1,53.098254489s,256,1,50
onephase_optimized_threads,soc-LiveJournal1,54.52266112s,256,1,50
onephase_optimized_threads,soc-LiveJournal1,51.638910081s,256,1,50
onephase_optimized_threads,soc-LiveJournal1,26.406712959s,256,2,50
onephase_optimized_threads,soc-LiveJournal1,26.024586199s,256,2,50
onephase_optimized_threads,soc-LiveJournal1,26.937854993s,256,2,50
onephase_optimized_threads,soc-LiveJournal1,26.775367217s,256,2,50
onephase_optimized_threads,soc-LiveJournal1,26.317998438s,256,2,50
onephase_optimized_threads,soc-LiveJournal1,15.764141656s,256,4,52
onephase_optimized_threads,soc-LiveJournal1,13.390402799s,256,4,51
onephase_optimized_threads,soc-LiveJournal1,15.639661214s,256,4,51
onephase_optimized_threads,soc-LiveJournal1,18.338752657s,256,4,51
onephase_optimized_threads,soc-LiveJournal1,15.593504576s,256,4,51
onephase_optimized_threads,soc-LiveJournal1,9.507635111s,256,8,52
onephase_optimized_threads,soc-LiveJournal1,9.432764116s,256,8,53
onephase_optimized_threads,soc-LiveJournal1,9.150575124s,256,8,51
onephase_optimized_threads,soc-LiveJournal1,9.304454024s,256,8,52
onephase_optimized_threads,soc-LiveJournal1,9.581745449s,256,8,53
onephase_optimized_threads,soc-LiveJournal1,7.169137538s,256,16,54
onephase_optimized_threads,soc-LiveJournal1,6.968254204s,256,16,54
onephase_optimized_threads,soc-LiveJournal1,7.352309286s,256,16,55
onephase_optimized_threads,soc-LiveJournal1,7.066059124s,256,16,52
onephase_optimized_threads,soc-LiveJournal1,7.531439122s,256,16,51
