algorithm,graph,runtime,batch_size,num,iterations
single_threaded,soc-LiveJournal1,38.880404986s,0,1,50
single_threaded,soc-pokec-relationships,28.72852397s,0,1,66
single_threaded,wiki-Talk,4.76803622s,0,1,24
single_threaded,web-BerkStan,3.564114183s,0,1,279
single_threaded,roadNet-TX,1.6999473s,0,1,89
single_threaded,roadNet-CA,1.475345478s,0,1,35
single_threaded,web-Google,1.746052805s,0,1,15
single_threaded,web-Stanford,1.387495753s,0,1,218
single_threaded,roadNet-PA,972.124631ms,0,1,44
single_threaded,web-NotreDame,358.089955ms,0,1,36
hashmap,web-Stanford,1.647252413s,0,6,424
hashmap,web-BerkStan,3.742973122s,0,6,424
hashmap,web-Google,866.13028ms,0,6,24
hashmap,web-NotreDame,831.387223ms,0,6,188
hashmap,wiki-Talk,4.696739604s,0,6,44
hashmap,soc-pokec-relationships,17.824686893s,0,6,128
hashmap,soc-LiveJournal1,32.377706875s,0,6,100
hashmap,roadNet-CA,1.911263278s,0,6,78
hashmap,roadNet-PA,1.022877508s,0,6,67
hashmap,roadNet-TX,2.139979307s,0,6,125
hashmap,web-Stanford,1.581179879s,256,6,424
hashmap,web-BerkStan,4.240086937s,256,6,424
hashmap,web-Google,921.499209ms,256,6,24
hashmap,web-NotreDame,863.446452ms,256,6,188
hashmap,wiki-Talk,3.302305796s,256,6,44
hashmap,soc-pokec-relationships,14.845066043s,256,6,128
hashmap,soc-LiveJournal1,21.676186077s,256,6,100
hashmap,roadNet-CA,1.972232894s,256,6,78
hashmap,roadNet-PA,1.017551328s,256,6,67
hashmap,roadNet-TX,2.155101361s,256,6,125
hashmap,web-Stanford,1.506928827s,256,6,424
hashmap,web-BerkStan,3.776809035s,256,6,424
hashmap,web-Google,889.855214ms,256,6,24
hashmap,web-NotreDame,818.787371ms,256,6,188
hashmap,wiki-Talk,3.038527873s,256,6,44
hashmap,soc-pokec-relationships,15.417872444s,256,6,128
hashmap,soc-LiveJournal1,23.531772941s,256,6,100
hashmap,roadNet-CA,1.906032689s,256,6,78
hashmap,roadNet-PA,978.071279ms,256,6,67
hashmap,roadNet-TX,2.085901402s,256,6,125
estimates,web-Stanford,1.426768631s,0,6,424
estimates,web-BerkStan,3.433349978s,0,6,424
estimates,web-Google,796.584134ms,0,6,24
