algorithm,graph,runtime,batch_size,num_threads,iterations
hashmap_threadpool,./graphs/web-Stanford/web-Stanford.txt,3.89722022s,16,6,424
hashmap_threadpool,./graphs/web-Stanford/web-Stanford.txt,2.335431879s,32,6,424
hashmap_threadpool,./graphs/web-Stanford/web-Stanford.txt,1.80964124s,64,6,424
hashmap_threadpool,./graphs/web-Stanford/web-Stanford.txt,1.694263458s,128,6,424
hashmap_threadpool,./graphs/web-Stanford/web-Stanford.txt,1.663550742s,256,6,424
hashmap_threadpool,./graphs/web-Stanford/web-Stanford.txt,1.605206128s,512,6,424
hashmap_threadpool,./graphs/web-Stanford/web-Stanford.txt,1.60377848s,1024,6,424
hashmap_threadpool,./graphs/web-BerkStan/web-BerkStan.txt,9.78655106s,16,6,424
hashmap_threadpool,./graphs/web-BerkStan/web-BerkStan.txt,6.182929886s,32,6,424
hashmap_threadpool,./graphs/web-BerkStan/web-BerkStan.txt,4.472880325s,64,6,424
hashmap_threadpool,./graphs/web-BerkStan/web-BerkStan.txt,4.040372558s,128,6,424
hashmap_threadpool,./graphs/web-BerkStan/web-BerkStan.txt,3.953399086s,256,6,424
hashmap_threadpool,./graphs/web-BerkStan/web-BerkStan.txt,3.951859896s,512,6,424
hashmap_threadpool,./graphs/web-BerkStan/web-BerkStan.txt,3.900407931s,1024,6,424
hashmap_threadpool,./graphs/web-Google/web-Google.txt,1.28651413s,16,6,24
hashmap_threadpool,./graphs/web-Google/web-Google.txt,1.089076422s,32,6,24
hashmap_threadpool,./graphs/web-Google/web-Google.txt,1.011746903s,64,6,24
hashmap_threadpool,./graphs/web-Google/web-Google.txt,973.11798ms,128,6,24
hashmap_threadpool,./graphs/web-Google/web-Google.txt,961.854703ms,256,6,24
hashmap_threadpool,./graphs/web-Google/web-Google.txt,947.04085ms,512,6,24
hashmap_threadpool,./graphs/web-Google/web-Google.txt,947.107414ms,1024,6,24
hashmap_threadpool,./graphs/web-NotreDame/web-NotreDame.txt,2.204498084s,16,6,189
hashmap_threadpool,./graphs/web-NotreDame/web-NotreDame.txt,1.408032688s,32,6,189
hashmap_threadpool,./graphs/web-NotreDame/web-NotreDame.txt,1.045117232s,64,6,189
hashmap_threadpool,./graphs/web-NotreDame/web-NotreDame.txt,948.112356ms,128,6,189
hashmap_threadpool,./graphs/web-NotreDame/web-NotreDame.txt,925.652971ms,256,6,189
hashmap_threadpool,./graphs/web-NotreDame/web-NotreDame.txt,908.853959ms,512,6,189
hashmap_threadpool,./graphs/web-NotreDame/web-NotreDame.txt,990.067349ms,1024,6,189
hashmap_threads,./graphs/web-Stanford/web-Stanford.txt,3.157310121s,16,6,424
hashmap_threads,./graphs/web-Stanford/web-Stanford.txt,2.128069775s,32,6,424
hashmap_threads,./graphs/web-Stanford/web-Stanford.txt,1.907631221s,64,6,424
hashmap_threads,./graphs/web-Stanford/web-Stanford.txt,1.672111049s,128,6,424
hashmap_threads,./graphs/web-Stanford/web-Stanford.txt,1.729038838s,256,6,424
hashmap_threads,./graphs/web-Stanford/web-Stanford.txt,1.542469296s,512,6,424
hashmap_threads,./graphs/web-Stanford/web-Stanford.txt,1.526752992s,1024,6,424
hashmap_threads,./graphs/web-BerkStan/web-BerkStan.txt,7.69223736s,16,6,424
hashmap_threads,./graphs/web-BerkStan/web-BerkStan.txt,5.03380456s,32,6,424
hashmap_threads,./graphs/web-BerkStan/web-BerkStan.txt,4.147139152s,64,6,424
hashmap_threads,./graphs/web-BerkStan/web-BerkStan.txt,4.008421454s,128,6,424
hashmap_threads,./graphs/web-BerkStan/web-BerkStan.txt,3.871303628s,256,6,424
hashmap_threads,./graphs/web-BerkStan/web-BerkStan.txt,3.866527935s,512,6,424
hashmap_threads,./graphs/web-BerkStan/web-BerkStan.txt,3.738293587s,1024,6,424
hashmap_threads,./graphs/web-Google/web-Google.txt,1.200294356s,16,6,24
hashmap_threads,./graphs/web-Google/web-Google.txt,969.364813ms,32,6,24
hashmap_threads,./graphs/web-Google/web-Google.txt,931.12767ms,64,6,24
hashmap_threads,./graphs/web-Google/web-Google.txt,899.041935ms,128,6,24
hashmap_threads,./graphs/web-Google/web-Google.txt,899.781348ms,256,6,24
hashmap_threads,./graphs/web-Google/web-Google.txt,886.20722ms,512,6,24
hashmap_threads,./graphs/web-Google/web-Google.txt,885.756059ms,1024,6,24
hashmap_threads,./graphs/web-NotreDame/web-NotreDame.txt,1.528886289s,16,6,189
hashmap_threads,./graphs/web-NotreDame/web-NotreDame.txt,1.141867117s,32,6,189
hashmap_threads,./graphs/web-NotreDame/web-NotreDame.txt,932.772254ms,64,6,189
hashmap_threads,./graphs/web-NotreDame/web-NotreDame.txt,860.498751ms,128,6,189
hashmap_threads,./graphs/web-NotreDame/web-NotreDame.txt,837.611535ms,256,6,189
hashmap_threads,./graphs/web-NotreDame/web-NotreDame.txt,834.576593ms,512,6,189
hashmap_threads,./graphs/web-NotreDame/web-NotreDame.txt,823.817471ms,1024,6,189
