algorithm,graph,runtime,batch_size,num_threads,iterations
hashmap_parallel_iterator,./graphs/web-Stanford/web-Stanford.txt,3.097714585s,0,1,424
hashmap_parallel_iterator,./graphs/web-Stanford/web-Stanford.txt,1.934242994s,0,2,424
hashmap_parallel_iterator,./graphs/web-Stanford/web-Stanford.txt,1.638804071s,0,3,424
hashmap_parallel_iterator,./graphs/web-Stanford/web-Stanford.txt,1.651734384s,0,4,424
hashmap_parallel_iterator,./graphs/web-Stanford/web-Stanford.txt,1.714618896s,0,6,424
hashmap_parallel_iterator,./graphs/web-Stanford/web-Stanford.txt,1.604371365s,0,8,424
hashmap_parallel_iterator,./graphs/web-Stanford/web-Stanford.txt,1.43922583s,0,10,424
hashmap_parallel_iterator,./graphs/web-BerkStan/web-BerkStan.txt,7.134765862s,0,1,424
hashmap_parallel_iterator,./graphs/web-BerkStan/web-BerkStan.txt,4.625321075s,0,2,424
hashmap_parallel_iterator,./graphs/web-BerkStan/web-BerkStan.txt,4.051702461s,0,3,424
hashmap_parallel_iterator,./graphs/web-BerkStan/web-BerkStan.txt,3.779767297s,0,4,424
hashmap_parallel_iterator,./graphs/web-BerkStan/web-BerkStan.txt,4.05806879s,0,6,424
hashmap_parallel_iterator,./graphs/web-BerkStan/web-BerkStan.txt,3.756260728s,0,8,424
hashmap_parallel_iterator,./graphs/web-BerkStan/web-BerkStan.txt,3.83827455s,0,10,424
hashmap_parallel_iterator,./graphs/web-Google/web-Google.txt,2.561418545s,0,1,24
hashmap_parallel_iterator,./graphs/web-Google/web-Google.txt,1.412305452s,0,2,24
hashmap_parallel_iterator,./graphs/web-Google/web-Google.txt,1.318130028s,0,3,24
hashmap_parallel_iterator,./graphs/web-Google/web-Google.txt,1.025451446s,0,4,24
hashmap_parallel_iterator,./graphs/web-Google/web-Google.txt,974.494632ms,0,6,24
hashmap_parallel_iterator,./graphs/web-Google/web-Google.txt,876.688713ms,0,8,24
hashmap_parallel_iterator,./graphs/web-Google/web-Google.txt,846.305338ms,0,10,24
hashmap_parallel_iterator,./graphs/web-NotreDame/web-NotreDame.txt,1.626674733s,0,1,189
hashmap_parallel_iterator,./graphs/web-NotreDame/web-NotreDame.txt,1.208595769s,0,2,189
hashmap_parallel_iterator,./graphs/web-NotreDame/web-NotreDame.txt,1.074551013s,0,3,189
hashmap_parallel_iterator,./graphs/web-NotreDame/web-NotreDame.txt,905.982951ms,0,4,189
hashmap_parallel_iterator,./graphs/web-NotreDame/web-NotreDame.txt,879.117188ms,0,6,189
hashmap_parallel_iterator,./graphs/web-NotreDame/web-NotreDame.txt,844.863815ms,0,8,189
hashmap_parallel_iterator,./graphs/web-NotreDame/web-NotreDame.txt,823.976661ms,0,10,189
hashmap_threadpool,./graphs/web-Stanford/web-Stanford.txt,5.718155715s,16,1,424
hashmap_threadpool,./graphs/web-Stanford/web-Stanford.txt,4.942675915s,32,1,424
hashmap_threadpool,./graphs/web-Stanford/web-Stanford.txt,4.06133722s,64,1,424
hashmap_threadpool,./graphs/web-Stanford/web-Stanford.txt,3.970232764s,128,1,424
hashmap_threadpool,./graphs/web-Stanford/web-Stanford.txt,3.743514758s,256,1,424
hashmap_threadpool,./graphs/web-Stanford/web-Stanford.txt,3.537020016s,512,1,424
hashmap_threadpool,./graphs/web-Stanford/web-Stanford.txt,3.529728455s,1024,1,424
hashmap_threadpool,./graphs/web-Stanford/web-Stanford.txt,3.899181058s,16,2,424
hashmap_threadpool,./graphs/web-Stanford/web-Stanford.txt,2.80565186s,32,2,424
hashmap_threadpool,./graphs/web-Stanford/web-Stanford.txt,2.155081493s,64,2,424
hashmap_threadpool,./graphs/web-Stanford/web-Stanford.txt,2.05970644s,128,2,424
hashmap_threadpool,./graphs/web-Stanford/web-Stanford.txt,2.130257136s,256,2,424
hashmap_threadpool,./graphs/web-Stanford/web-Stanford.txt,1.970360064s,512,2,424
hashmap_threadpool,./graphs/web-Stanford/web-Stanford.txt,2.013099011s,1024,2,424
hashmap_threadpool,./graphs/web-Stanford/web-Stanford.txt,4.045739261s,16,3,424
hashmap_threadpool,./graphs/web-Stanford/web-Stanford.txt,2.829297119s,32,3,424
hashmap_threadpool,./graphs/web-Stanford/web-Stanford.txt,2.153071311s,64,3,424
hashmap_threadpool,./graphs/web-Stanford/web-Stanford.txt,1.857941791s,128,3,424
hashmap_threadpool,./graphs/web-Stanford/web-Stanford.txt,1.721280416s,256,3,424
hashmap_threadpool,./graphs/web-Stanford/web-Stanford.txt,1.817945193s,512,3,424
hashmap_threadpool,./graphs/web-Stanford/web-Stanford.txt,1.655167115s,1024,3,424
