graph,runtime
web-Stanford,35.85335087776184s
web-Stanford,36.164225816726685s
web-Stanford,34.93390250205994s
web-Stanford,34.90232062339783s
web-Stanford,36.09412240982056s
web-BerkStan,286.3241820335388s
web-BerkStan,286.0101065635681s
web-BerkStan,295.4738018512726s
web-BerkStan,302.8362271785736s
web-BerkStan,296.70484828948975s
web-Google,20.09544539451599s
web-Google,19.287244081497192s
web-Google,18.77773928642273s
web-Google,20.387993574142456s
web-Google,17.954365730285645s
web-NotreDame,2.1506705284118652s
web-NotreDame,2.105531692504883s
web-NotreDame,2.1049699783325195s
web-NotreDame,1.976806879043579s
web-NotreDame,2.1383683681488037s
wiki-Talk,51.85748267173767s
wiki-Talk,51.45356249809265s
wiki-Talk,54.244832277297974s
wiki-Talk,53.401145458221436s
wiki-Talk,53.46379470825195s
soc-pokec-relationships,96.43054437637329s
soc-pokec-relationships,97.75458860397339s
soc-pokec-relationships,92.688316822052s
soc-pokec-relationships,96.79008603096008s
soc-pokec-relationships,90.26796650886536s
soc-LiveJournal1,492.0943167209625s
soc-LiveJournal1,240.52144980430603s
soc-LiveJournal1,226.8059356212616s
soc-LiveJournal1,234.6642825603485s
soc-LiveJournal1,234.99180555343628s
roadNet-CA,23.21714425086975s
roadNet-CA,7.152429819107056s
roadNet-CA,7.0531909465789795s
roadNet-CA,7.970779895782471s
roadNet-CA,6.539018392562866s
roadNet-PA,5.756774187088013s
roadNet-PA,3.5794544219970703s
roadNet-PA,3.5550687313079834s
roadNet-PA,3.951165199279785s
roadNet-PA,3.534888744354248s
roadNet-TX,5.723207473754883s
roadNet-TX,4.2694807052612305s
roadNet-TX,4.217860221862793s
roadNet-TX,4.6997389793396s
roadNet-TX,4.185606241226196s
