algorithm,graph,runtime,batch_size,num_threads,iterations
one_phase_parallel_iterator,./graphs/web-Stanford/web-Stanford.txt,1.460197195s,0,1,218
one_phase_parallel_iterator,./graphs/web-Stanford/web-Stanford.txt,961.073112ms,0,2,217
one_phase_parallel_iterator,./graphs/web-Stanford/web-Stanford.txt,779.147977ms,0,3,230
one_phase_parallel_iterator,./graphs/web-Stanford/web-Stanford.txt,653.478313ms,0,4,218
one_phase_parallel_iterator,./graphs/web-Stanford/web-Stanford.txt,703.7027ms,0,6,223
one_phase_parallel_iterator,./graphs/web-BerkStan/web-BerkStan.txt,3.221813562s,0,1,279
one_phase_parallel_iterator,./graphs/web-BerkStan/web-BerkStan.txt,2.054395669s,0,2,279
one_phase_parallel_iterator,./graphs/web-BerkStan/web-BerkStan.txt,1.892329212s,0,3,279
one_phase_parallel_iterator,./graphs/web-BerkStan/web-BerkStan.txt,1.821971726s,0,4,279
one_phase_parallel_iterator,./graphs/web-BerkStan/web-BerkStan.txt,1.865714097s,0,6,279
one_phase_parallel_iterator,./graphs/web-Google/web-Google.txt,1.385664204s,0,1,15
one_phase_parallel_iterator,./graphs/web-Google/web-Google.txt,818.944745ms,0,2,14
one_phase_parallel_iterator,./graphs/web-Google/web-Google.txt,719.301068ms,0,3,14
one_phase_parallel_iterator,./graphs/web-Google/web-Google.txt,576.688377ms,0,4,14
one_phase_parallel_iterator,./graphs/web-Google/web-Google.txt,606.020987ms,0,6,14
one_phase_parallel_iterator,./graphs/web-NotreDame/web-NotreDame.txt,308.219617ms,0,1,36
one_phase_parallel_iterator,./graphs/web-NotreDame/web-NotreDame.txt,200.753269ms,0,2,32
one_phase_parallel_iterator,./graphs/web-NotreDame/web-NotreDame.txt,180.586217ms,0,3,33
one_phase_parallel_iterator,./graphs/web-NotreDame/web-NotreDame.txt,174.194635ms,0,4,33
one_phase_parallel_iterator,./graphs/web-NotreDame/web-NotreDame.txt,166.004617ms,0,6,33
one_phase_threadpool,./graphs/web-Stanford/web-Stanford.txt,1.289847859s,256,1,218
one_phase_threadpool,./graphs/web-Stanford/web-Stanford.txt,797.190009ms,256,2,216
one_phase_threadpool,./graphs/web-Stanford/web-Stanford.txt,696.859262ms,256,3,217
one_phase_threadpool,./graphs/web-Stanford/web-Stanford.txt,674.482244ms,256,4,232
one_phase_threadpool,./graphs/web-Stanford/web-Stanford.txt,708.066707ms,256,6,231
one_phase_threadpool,./graphs/web-BerkStan/web-BerkStan.txt,3.259031016s,256,1,279
one_phase_threadpool,./graphs/web-BerkStan/web-BerkStan.txt,2.133195418s,256,2,279
one_phase_threadpool,./graphs/web-BerkStan/web-BerkStan.txt,1.891999865s,256,3,279
one_phase_threadpool,./graphs/web-BerkStan/web-BerkStan.txt,1.814780772s,256,4,279
one_phase_threadpool,./graphs/web-BerkStan/web-BerkStan.txt,1.848701042s,256,6,279
one_phase_threadpool,./graphs/web-Google/web-Google.txt,1.407835642s,256,1,15
one_phase_threadpool,./graphs/web-Google/web-Google.txt,799.949316ms,256,2,15
one_phase_threadpool,./graphs/web-Google/web-Google.txt,643.743182ms,256,3,14
one_phase_threadpool,./graphs/web-Google/web-Google.txt,595.095459ms,256,4,15
one_phase_threadpool,./graphs/web-Google/web-Google.txt,548.968523ms,256,6,14
one_phase_threadpool,./graphs/web-NotreDame/web-NotreDame.txt,312.067127ms,256,1,36
one_phase_threadpool,./graphs/web-NotreDame/web-NotreDame.txt,220.731906ms,256,2,34
one_phase_threadpool,./graphs/web-NotreDame/web-NotreDame.txt,178.285335ms,256,3,33
one_phase_threadpool,./graphs/web-NotreDame/web-NotreDame.txt,165.171761ms,256,4,33
one_phase_threadpool,./graphs/web-NotreDame/web-NotreDame.txt,164.165267ms,256,6,32
one_phase_threads,./graphs/web-Stanford/web-Stanford.txt,1.294300572s,256,1,218
one_phase_threads,./graphs/web-Stanford/web-Stanford.txt,804.103303ms,256,2,216
one_phase_threads,./graphs/web-Stanford/web-Stanford.txt,698.225748ms,256,3,223
one_phase_threads,./graphs/web-Stanford/web-Stanford.txt,670.291704ms,256,4,221
one_phase_threads,./graphs/web-Stanford/web-Stanford.txt,668.197676ms,256,6,219
one_phase_threads,./graphs/web-BerkStan/web-BerkStan.txt,3.211316213s,256,1,279
one_phase_threads,./graphs/web-BerkStan/web-BerkStan.txt,2.09244633s,256,2,279
one_phase_threads,./graphs/web-BerkStan/web-BerkStan.txt,1.8706476s,256,3,279
one_phase_threads,./graphs/web-BerkStan/web-BerkStan.txt,1.790208994s,256,4,279
one_phase_threads,./graphs/web-BerkStan/web-BerkStan.txt,1.814096828s,256,6,279
one_phase_threads,./graphs/web-Google/web-Google.txt,1.40144611s,256,1,15
one_phase_threads,./graphs/web-Google/web-Google.txt,794.401199ms,256,2,15
one_phase_threads,./graphs/web-Google/web-Google.txt,691.852296ms,256,3,15
one_phase_threads,./graphs/web-Google/web-Google.txt,598.89559ms,256,4,16
one_phase_threads,./graphs/web-Google/web-Google.txt,579.541372ms,256,6,17
one_phase_threads,./graphs/web-NotreDame/web-NotreDame.txt,313.692919ms,256,1,36
one_phase_threads,./graphs/web-NotreDame/web-NotreDame.txt,218.141888ms,256,2,35
one_phase_threads,./graphs/web-NotreDame/web-NotreDame.txt,180.16617ms,256,3,33
one_phase_threads,./graphs/web-NotreDame/web-NotreDame.txt,171.846011ms,256,4,32
one_phase_threads,./graphs/web-NotreDame/web-NotreDame.txt,177.37147ms,256,6,34
